Region,FLR MH,FLR MF,FLR AT,FLR SFD,FLR RRMH,FLR RRSFD
Astoria_LincolnCity,0.599184825911832,-0.0914081887633922,0.128806365256074,0,0.326780024045881,0.208994152789563
BakerCity_JohnDay,-0.28147859764785,-0.276161310053987,-0.432353831387849,0,-0.277236648472944,-0.342032269889185
Bend,0.516327164944612,-0.537983891354754,-0.0859471733133419,0,0.838233943862251,0.705884197902942
Eugene,0.117779122558452,0.386703451091806,0.8448978248357,0,-0.208653620231128,0.00216056323856989
Eureka_Brookings,-0.0657370930845232,-3.14470848744845,-3.6143825722539,0,-0.141440146714012,0.498804019459374
KlamathFalls_Burns,0.260060846306393,-0.221016169647049,0.365183271398250,0,0.42104290892123,0.180596523101852
Lewistown,-0.210714599042944,-0.0555015855027776,-0.0166654914669105,0,-0.463027196548391,0.319172272831682
Longview_Centralia,0.271002170925836,-0.436683466915907,-0.347808281085443,0,0.264513593655683,1.19405916089233
Medford_GrantsPass,0.638161994635095,0.274418735746452,0.659648389876032,0,0.395957289702644,0.306997604547699
Ontario_Boise,-0.1514711697569,-0.942553812020443,-0.602340267527988,0,-1.02367850314230,0.0395010000009931
Portland_Vancouver,0.0561833255198411,0.0735512500167414,0.0837272991396847,0,-0.730259116232086,0.168127389502872
Salem,0.330187270253534,0.338436078405132,0.381144091224997,0,-0.20454777267187,0.0580016855966164
TheDalles,0.448967182160364,-0.127367134068167,-0.0612992623252515,0,0.65630113842531,1.42275292142164
Yakima_Pendleton,-0.361109486548705,-0.345824621051934,-0.459339093230900,0,-0.866073499405182,0.432256473214952
Yreka_Redding,-0.0997646838047283,-0.247305903119094,-1.02394356913649,0,0.283882187443068,0.943805831517282
