Industry,IndustryIndex,Occupation,OccupationIndex,SplitIndustry,SplitIndustryIndex,Portion
no_industry,0,No_Occupation,0,no_industry,0,1.0
no_industry,0,A1-Mgmt Bus,1,no_industry,0,1.0
no_industry,0,B1-Prof Specialty,2,no_industry,0,1.0
no_industry,0,B2-Education,3,no_industry,0,1.0
no_industry,0,B3-Health,4,no_industry,0,1.0
no_industry,0,B4-Technical Unskilled,5,no_industry,0,1.0
no_industry,0,C1-Sales Clerical Professionals,6,no_industry,0,1.0
no_industry,0,C2-Sales Service,7,no_industry,0,1.0
no_industry,0,C3-Clerical,8,no_industry,0,1.0
no_industry,0,C4-Sales Clerical Unskilled,9,no_industry,0,1.0
no_industry,0,D1-Production Specialists,10,no_industry,0,1.0
no_industry,0,D2-MaintConstRepair Specialists,11,no_industry,0,1.0
no_industry,0,D3-ProtectTrans Specialists,12,no_industry,0,1.0
no_industry,0,D4-Blue Collar Unskilled,13,no_industry,0,1.0
RES_agmin_ag,1,No_Occupation,0,RES_agmin_ag,1,1.0
RES_agmin_ag,1,A1-Mgmt Bus,1,RES_agmin_ag,1,1.0
RES_agmin_ag,1,B1-Prof Specialty,2,RES_agmin_ag,1,1.0
RES_agmin_ag,1,B2-Education,3,RES_agmin_ag,1,1.0
RES_agmin_ag,1,B3-Health,4,RES_agmin_ag,1,1.0
RES_agmin_ag,1,B4-Technical Unskilled,5,RES_agmin_ag,1,1.0
RES_agmin_ag,1,C1-Sales Clerical Professionals,6,RES_agmin_ag,1,1.0
RES_agmin_ag,1,C2-Sales Service,7,RES_agmin_ag,1,1.0
RES_agmin_ag,1,C3-Clerical,8,RES_agmin_ag,1,1.0
RES_agmin_ag,1,C4-Sales Clerical Unskilled,9,RES_agmin_ag,1,1.0
RES_agmin_ag,1,D1-Production Specialists,10,RES_agmin_ag,1,1.0
RES_agmin_ag,1,D2-MaintConstRepair Specialists,11,RES_agmin_ag,1,1.0
RES_agmin_ag,1,D3-ProtectTrans Specialists,12,RES_agmin_ag,1,1.0
RES_agmin_ag,1,D4-Blue Collar Unskilled,13,RES_agmin_ag,1,1.0
RES_forst_log,2,No_Occupation,0,RES_forst_log,2,1.0
RES_forst_log,2,A1-Mgmt Bus,1,RES_forst_log,2,1.0
RES_forst_log,2,B1-Prof Specialty,2,RES_forst_log,2,1.0
RES_forst_log,2,B2-Education,3,RES_forst_log,2,1.0
RES_forst_log,2,B3-Health,4,RES_forst_log,2,1.0
RES_forst_log,2,B4-Technical Unskilled,5,RES_forst_log,2,1.0
RES_forst_log,2,C1-Sales Clerical Professionals,6,RES_forst_log,2,1.0
RES_forst_log,2,C2-Sales Service,7,RES_forst_log,2,1.0
RES_forst_log,2,C3-Clerical,8,RES_forst_log,2,1.0
RES_forst_log,2,C4-Sales Clerical Unskilled,9,RES_forst_log,2,1.0
RES_forst_log,2,D1-Production Specialists,10,RES_forst_log,2,1.0
RES_forst_log,2,D2-MaintConstRepair Specialists,11,RES_forst_log,2,1.0
RES_forst_log,2,D3-ProtectTrans Specialists,12,RES_forst_log,2,1.0
RES_forst_log,2,D4-Blue Collar Unskilled,13,RES_forst_log,2,1.0
RES_offc_off,3,No_Occupation,0,RES_offc_off,3,1.0
RES_offc_off,3,A1-Mgmt Bus,1,RES_offc_off,3,1.0
RES_offc_off,3,B1-Prof Specialty,2,RES_offc_off,3,1.0
RES_offc_off,3,B2-Education,3,RES_offc_off,3,1.0
RES_offc_off,3,B3-Health,4,RES_offc_off,3,1.0
RES_offc_off,3,B4-Technical Unskilled,5,RES_offc_off,3,1.0
RES_offc_off,3,C1-Sales Clerical Professionals,6,RES_offc_off,3,1.0
RES_offc_off,3,C2-Sales Service,7,RES_offc_off,3,1.0
RES_offc_off,3,C3-Clerical,8,RES_offc_off,3,1.0
RES_offc_off,3,C4-Sales Clerical Unskilled,9,RES_offc_off,3,1.0
